place_name,alternate_names,admin_level_2,admin_level_1,admin_level_0,continent,notes
Suriname,[],,,Suriname,South America,
Susquehanna,[],,Pennsylvania,,,River and area & West Branch & North Branch
Susquehanna River,[],,Pennsylvania,,,
Susquehanna River and Valley,[],,,,,
Susquehanna River and area,[],,Pennsylvania,,,
Sussex County,[],Sussex County,New Jersey,,,
Swan Creek,[],,Ontario,,,Lake Erie
Swan River,[],,Michigan,,,vicinity of St. Clair River | Wabisisipi
Swatara Creek,[],Dauphin County,Pennsylvania,,,
Swatara Creek,[],Schuylkill County,Pennsylvania,,,
Swatara Creek and Valley,[],,Pennsylvania,,,
Swego,[],,Ontario,,,Mingue Town on Grand River
Switzerland,[],,,Switzerland,,
Ta-ne-wan-di,['Seneca'],,,,,rapid stream
Tahiti,['Otaheite'],,,,,
Taniwandi,[],,,,,
Tavandemung,[],,,,,place near Wyalusing | Tauwundamunk & Tauwundamunk
Tawa Bay,[],,,,,Maumee Bay & name for Maumee Bay
Tawa River,['Miami of the Lake'],,Ohio,,,Maumee River & Maumee River
Tawa Town,[],,Ohio,,,location of Toledo
Telpi-Mahonunk,[],,,,,
Temaitasunk,[],,Ohio,,,
Tenk-han-neck,['Delaware'],,,,,Small River
Tenkhannek,[],,Pennsylvania,,,place on Susquehanna | Tengkannek | Tenkkanneck
Tenkhanneti,[],,,,,
Tenkhannik,['also Tenkhanneck'],,,,,
Tennessee,[],,Tennessee,,,
Teockhansoutehan,['a French town'],,,,,
Tetechgath,[],,,,,
Thames River,['Retrenche'],,Ontario,,,
Thuernstein,[],Schuylkill County,Pennsylvania,,,Broad Mount
Thuppeeking,[],,,,,meaning Schonbrunn | Thupaken | Thuppeekunk
Thuppekink,['Schonbrunn'],,,,,
Thuppekunk,[],,Ohio,,,Schonbrunn
Ti-a-o-ga,['Mohawk'],,,,,the forks
Tiaogu,[],,Pennsylvania,,,
Tinkers Creek Cuyahoga County,"[""Dunker's Creek""]",,Ohio,,,
Tioga,[],,,,,
Tioga,"['also Tiaogu', 'Tiaogu', 'Diaogu']",Bradford County,Pennsylvania,,,modern Athens
Tioga Point,[],Bradford County,Pennsylvania,,,site of Athens
Tioga River,[],,New York,,,
Tioga River or Creek,['Tiaogu'],,New York,,,name applied to Chemung River
Tioga site of present Athens,"['Tiaogu', 'Diaugu', 'Diaoju']",Bradford County,,,,Pennsylvania Geographic Names
Tioginossongochto,[],,,,,
Tionionwaquagarõnto,[],,,,,
Tobihanna Creek,[],Monroe County,Pennsylvania,,,
Toiondo,[],,,,,Toronto
Tonawanda Town and Creek,['Taniwandi'],Genesee County,New York,,,
Toronto,['York'],,Ontario,,,
Tower Hamlets,[],,,,,England | London
Trenton,['Trentown'],,New Jersey,,,
Tripoli,[],,,,,
Trumbull County,[],Trumbull County,Ohio,,,
Tschallachgasi,[],,,,,
Tsche-ne-sche-e,['Seneca'],,,,,a fine valley
Tschechachequanigk,['Schechschequanunk'],,,,,
Tschehantowsh,[],,,,,
Tschiaque Creek,[],,Ohio,,,East of Cuyahoga River
Tschimitagan,[],,,,,
Tschitschiquanunk,['Schechschequanunk'],,,,,
Tschochnot,[],,,,,place near Wyalusing
Tschoniata River,[],,,,,
Tulling Brook,['?'],,New York,,,
Tulpehocken,[],,,,,
Tulpehocken Berks County,['also Tulpehockin'],,Pennsylvania,,,
Tulpenocken,[],Berks County,Pennsylvania,,,
Tunkhanneck,[],Monroe County,Pennsylvania,,,
Tunkhannock,[],Wyoming County,Pennsylvania,,,
Turkey Hill,[],New Haven County,Connecticut,,,Township of Derby
Turtle Creek,[],,Pennsylvania,,,Westmoreland and Allegheny County
Tuscarawas,['Tuscarawi'],,Ohio,,,
Tuscarawas,['Tuscarawi'],Stark County,Ohio,,,
Tuscarawas County,[],Tuscarawas County,Ohio,,,
Tuscarawas River,['Tuscarawi'],,Ohio,,,
Tuscarawas River standing for Muskingum,"['Tuscarabi', 'Delaware', 'Tuscalabi']",,Ohio,,,
Tuscarawas Town,['Tuscarawi'],,Ohio,,,
Tuscarawi,[],,Ohio,,,
Tuscarawi Creek,[],,Ohio,,,
Tuscarawi now Bolivar,['Tuscorawas'],,Ohio,,,
Tuscarora Creek,[],,,,,
Tuscarora Mountains,[],,Pennsylvania,,,between Franklin and Fulton County
Tuscarora Town,['Tosgarore'],,Ontario,,,Grand River
Tuscarores,[],,,,,place near Wyalusing
U. SouthA,[],,,,,
Ulator County,[],,Pennsylvania,,,
Unami,[],,,,,Great
Unami River,[],,,,,
Upper Canada,[],,Ontario,,,
Upper Lusatia,[],,,Germany,,
Upper Sandusky,[],,,,,
Upper Sandusky,[],Wyandot County,Ohio,,,
Uschummo Uschummunk,[],,,,,
Utica,['Judica'],,,,,New York former Fort Skuyler
Venango,[],,,,,
Venango River,['French Creek'],Venango County,Pennsylvania,,,
Vera Cruz Mexico,['La Vera Cruz'],,,,,
Vermilion Creek,[],,Ohio,,,also Almenisepunk
Vermilion River Ohio,"['Wulamann', 'Zinneber River']",,,,,
Vermillion River,['presumably'],,Ohio,,,
Vienna,[],,,Austria,,
Vier Bruder,['Four Brothers'],,,,,place between Gnadenhutten and Nescopeck
Vincennes,"['Fort Vincent', 'Post Vincennes']",,Indiana,,,
Vincennes Indiana,"['Post Vincennes', 'Post Vincent']",,,,,
Virgin Islands,['Danish West Indian Islands'],,,,,
Virginia,[],,Virginia,,,later State | Colony
Vredens Huia,[],,,,,
Wabash River,"['Wobash', 'Wapaasch', 'Wabbassch']",,Indiana,,,
Wabicamigunk,[],,,,,
Wabisisipi,[],,Michigan,,,Swan River
Wachau,['Wachovia'],,,,,Moravian property in North Carolina
Wachovia,"['Wachau', 'Wachua']",,North Carolina,,,
Wackatemake,[],,,,,
Wahochquage,[],Broome County,New York,,,Ouaquage | possibliy Oquaga
Wajomick,[],,,,,
Wajomik,"['Wyoming', 'Pennsylvania']",,,,,
Wakotameki,['Wapitameki'],Muskingum County,Ohio,,,near Dresden
Walbeck,['correctly Walpack'],,,,,Lutheran mission place in New Jersey
Walhanding,[],,,,,
Walhanding Creek,[],,Ohio,,,
Walhanding Creek modern Walhonding,"['Wahlandunk', 'Walhandunk']",,Ohio,,,joining the Muskingum River at Coshocton
Walhanding River,['Walhanding Creek'],,,,,O
Walhanding River,['Walhanding'],Coshocton County,Ohio,,,also White Woman's Creek
Wanachquaticok,"['Wannachquattagóck', 'Wannachgoattegóck', 'Wonachquaticok', 'etc.']",Berkshire County,Massachusetts,,,Mass | Westenhuc & Westenhuc
Wanachquatikok,[],,,,,Wannoquatagoch
Wapwallopen,"['also Wambhallobank', 'Womphallepang', 'Waabhallobank', 'Waquallopank', 'etc.']",Luzerne County,Pennsylvania,,,Hollenback Township
Wapwallopen,[],,,,,
Warpoles,[],,,,,also Mittesagi
Warren,[],,Ohio,,,
Warren County,[],Warren County,Ohio,Lebanon,,
Warte,[],,Pennsylvania,,,Lake Erie & Carbon or Luzerne County
Warwick,[],,Pennsylvania,,,
Warwick,[],,Ohio,,,
Warwick,['Warrick'],,New York,,,
Warwick,[],Chester County,Pennsylvania,,,
Washington,[],,Washington,,,District of Columbia
Washington County,['including also Beaver County'],Washington County,Pennsylvania,,,
Washington County,[],Washington County,Ohio,,,
Washington County,[],Washington County,Pennsylvania,,,
Washington Road,[],,Pennsylvania,,,Washington and Beaver County
Weapikamik,[],,,,,White River
Wechpakak,[],,,,,
Wechpakak place in Upper Susquehanna region,"['Wechpakak', 'Wiekpekat']",,,,,
Wechquatnach,[],Litchfield County,Connecticut,,,Mission place
Wechquetank,['Wequetank'],,Pennsylvania,,,
Wechquetank,[],Monroe County,Pennsylvania,,,
Wechquitehanek River,[],,Ohio,,,
Weelhik Thuppeek,['Weelhik Tuppeek'],,,,,
Weh-to-pi-jah-neek,['Delaware'],,,,,Alder River
Wehtak,[],Litchfield County,Connecticut,,,Salisbury
Wenschigochpiechen,[],,Pennsylvania,,,place in Susquehanna region
Wentschipaqua,[],,Ontario,,,
Wequetank,[],,,,,
Wequetank Creek,[],Monroe County,Pennsylvania,,,
West Alexander,['Alexandria'],Washington County,Pennsylvania,,,
West Dever Township,[],,Ontario,,,
West Indian Islands,[],,,,,
West Indies,[],,,,,
West River,[],,,,,
Westenhuc,"['Westenhuck', 'Westenhook', 'Westenhuk']",Berkshire County,Massachusetts,,,Wannaquatagoch | Massachusetts also Wanachquatikok
Westenhuc Moravian mission place in Massachusetts,"['Westenhuck', 'Westenhook']",,,,,
Western Sugar Creek,[],,Ohio,,,Stark and Tuscarawas County
Westliberty,[],Ohio County,West Virginia,,,
Westminster,[],,,,,Enland | London | Liberty of
Westmoreland County,[],Westmoreland County,Pennsylvania,,,
Wheeling,"['Wuhling', 'Wilunk', 'Wiluck']",,West Virginia,,,
Whi-a-lu-sis,['Delaware'],,,,,an old man
White Clay River,[],,,,,
White Eye's Town,[],,Ohio,,,Coshecton County
White River,"['q.v.', 'also White Clay River', 'Woapikamik', 'also Woapicamikunk', 'Woapicamikunk']",,Indiana,,,
White Stone,[],,New York,,,probably Long Island
White Woman's Creek,[],,,,,
White Woman's Creek,"['Walbonding River', 'Walhonding Creek']",Coshocton County,Ohio,,,
White's Mill,[],Beaver County,Pennsylvania,,,
Whitestown,[],,New York,,,site of Utica
Whitewater River,[],,,,,Indiana and Ohio
Wihilusing,['Friedeshutten'],,Pennsylvania,,,Wyalusing
Wilawana,[],,,,,
Wilawana,"['Wilawane', 'Wilawanunk', 'Wilawunk']",Bradford County,Pennsylvania,,,
Wild Creek,['presumably Wills Creek'],Coshocton County,Ohio,,,
Wilkes-Barre,[],,Pennsylvania,,,
Williamsburg,[],,New York,,,County | Livingston | near Mount Morris
Williamsburg,[],,Virginia,,,
Wills Creek,[],Guernsey County,Ohio,,,
Wilmington,[],,Delaware,,,
Wilson's Creek,['also Hackientschous Creek'],Northampton County,Pennsylvania,,,
Wilson's Mill,[],Northampton County,Pennsylvania,,,
Wind Falls,[],,Ontario,,,
Windsor,[],,,,,England
Winginund's Town,[],,,,,
Wintering Place,[],,,,,
Wisachkim,[],,Pennsylvania,,,place in Susquehanna Region
Wisauchsican,[],,,,,place between the Muskingum and Ohio River
Woachejeek Utoenink,[],,,,,
Woaketammeki,[],,,,,
Woaketammeki Muskingum County,"['Wackatomake', 'W[?]']",,Ohio,,,near Dresden
Woaketammeki Shawnee town on Muskingum River,"['Woakatammike', 'Woaktammike', 'Woaktammuk']",,Ohio,,,
Woapicamikunk,[],,Indiana,,,White River | also White Clay River & White River
Woapicamikunk White River,['Wabicamigunk'],,Indiana,,,
Woapikamik,[],,,,,
Woapikamik Sipo,[],,Indiana,,,White River
Woapikamikunk,[],,Indiana,,,White River | Delaware Town
Woapiminschijeek,['Where the chestnut trees grow'],,Indiana,,,
Woapimintshi,['Chestnut tree'],,Indiana,,,White River
Woapisitschankgissigabawik,[],,,,,
Woapisitschankgissigabewik,"['Swan standing on the tips of his toes', 'Wabisìtschangìasigabawit']",,Ontario,,,
Wolf Creek,[],Morgan County,Ohio,,,
Wolf Mountain,[],,,,,Pocono Mountains
Wolf Mountain,[],Monroe County,Pennsylvania,,,
Wolf's Mountain,[],Monroe County,Pennsylvania,,,
Women's Town,[],,,,,
Wood Creek,[],Oneida County,New York,,,
Woodbeck's Tavern,[],,,,,New York Geographic Names | place about halfway between Kingston and Albany
Woodbury,[],Litchfield County,Connecticut,,,
Wooster,[],Wayne County,Ohio,,,
Wulamanink,[],,Ohio,,,Vermilion River | Paint River
Wulunk,"['Wheeling', 'West Virginia']",,,,,
Wurtemberg,[],,,Germany,,
Wyalusing,['Wihilusing'],,,,,
Wyalusing,"['Wiolousing', 'Wihilusing']",Bradford County,Pennsylvania,,,Friedenshutten
Wyalusing Creek,['Wichlusing'],Bradford County,Pennsylvania,,,
Wyalusing Creek,[],,,,,
Wyalusing Island,[],Bradford County,Pennsylvania,,,
Wyandot Lower Town,[],,Ohio,,,Sandusky River
Wyandot Town,[],Wyandot County,Ohio,,,Upper Sandusky
Wyandot Town,[],,,,,east bank below the lower rapids of Sandusky River
Wyandot Towns,[],,,,,
Wyoming,[],,Wyoming,,,
Wyoming Hills,[],Luzerne County,Pennsylvania,,,
Wyoming Luzerne County,"['also Wyomack', 'Wajomick', 'Yomack', 'etc.']",,Pennsylvania,,,
Yellow Creek,[],Jefferson County,Ohio,,,
York,['Yorktown'],York,Pennsylvania,,,
York,['Toronto'],York,Ontario,,,
York County,[],York County,Pennsylvania,,,
Yorktown,"['presumably York', 'Pennsylvania']",,Virginia,,,
Youngstown,[],Youngstown,Ohio,,,
Yrene,[],,,,,
Ysenburg-Budingen,[],,,Germany,,
Ysselstein,[],,,,,Holland
Zanesville,[],,Ohio,,,Muskingum Co | Licking
Zeisberger Island,[],,Ohio,,,Muskingum River
Zeist,[],,,,,Holland
Zeninga,[],,,,,Zenenge | Zeningo
Zeninge,[],,,,,
Zeninge,"['Shenango', 'Chenango']",Broome County,New York,,,Upper Susquehanna near Binghamton
Zoneschio,[],,New York,,,Zonesschio
Zoneschio River,[],,,,,
Zurich,[],,,Switzerland,,
kaskaskunk,[],,,,,
